sample,adc,filtered,lead_off
378,5504,562.454,0
379,5529,548.667,0
380,5543,533.364,0
381,5551,518.893,0
382,5530,507.098,0
383,5543,498.744,0
384,5592,493.632,0
385,5647,491.677,0
386,5699,493.977,0
387,5738,502.751,0
388,5747,520.081,0
389,5728,546.300,0
390,5707,578.946,0
391,5691,613.015,0
392,5646,642.457,0
393,5624,661.988,0
394,5616,668.435,0
395,5615,661.422,0
396,5633,643.329,0
397,5666,618.542,0
398,5691,592.384,0
399,5707,569.981,0
400,5741,555.275,0
401,5770,550.540,0
402,5762,556.391,0
403,5732,571.721,0
404,5715,593.452,0
405,5735,616.876,0
406,5743,637.043,0
407,5725,650.350,0
408,5705,655.188,0
409,5698,651.637,0
410,5715,641.085,0
411,5743,626.126,0
412,5784,610.391,0
413,5808,597.926,0
414,5781,592.039,0
415,5748,593.884,0
416,5691,601.597,0
417,5630,610.655,0
418,5606,615.378,0
419,5594,610.954,0
420,5607,595.219,0
421,5645,569.420,0
422,5716,537.888,0
423,5781,507.042,0
424,5812,483.932,0
425,5824,474.363,0
426,5833,481.150,0
427,5859,503.441,0
428,5904,537.482,0
429,5953,578.272,0
430,5937,621.019,0
431,5891,661.477,0
432,5820,695.365,0
433,5758,718.066,0
434,5741,725.450,0
435,5772,715.595,0
436,5837,690.441,0
437,5893,656.150,0
438,5977,621.674,0
439,6030,596.233,0
440,6061,586.891,0
441,6074,596.880,0
442,6087,625.101,0
443,6100,666.907,0
444,6096,715.694,0
445,6086,764.431,0
446,6065,806.680,0
447,6032,837.205,0
448,6019,852.472,0
449,6019,851.234,0
450,5987,835.005,0
451,5903,807.582,0
452,5840,773.318,0
453,5810,735.317,0
454,5809,695.043,0
455,5796,653.227,0
456,5758,610.742,0
457,5701,568.597,0
458,5660,527.416,0
459,5612,487.242,0
460,5571,447.824,0
461,5532,408.924,0
462,5498,370.340,0
463,5463,331.775,0
464,5442,292.796,0
465,5427,253.094,0
466,5408,212.956,0
467,5370,173.514,0
468,5339,136.404,0
469,5316,103.055,0
470,5301,74.157,0
471,5292,49.539,0
472,5273,28.331,0
473,5261,9.272,0
474,5264,-8.852,0
475,5274,-26.586,0
476,5295,-43.269,0
477,5295,-57.076,0
478,5295,-65.835,0
479,5306,-68.190,0
480,5306,-64.330,0
481,5319,-55.880,0
482,5326,-45.188,0
483,5335,-34.397,0
484,5318,-24.799,0
485,5315,-16.812,0
486,5326,-10.348,0
487,5338,-5.100,0
488,5346,-0.643,0
489,5327,3.353,0
490,5321,6.797,0
491,5297,9.068,0
492,5269,9.278,0
493,5226,6.582,0
494,5231,0.339,0
495,5263,-9.572,0
496,5313,-22.128,0
497,5360,-34.809,0
498,5401,-44.026,0
499,5460,-46.089,0
500,5559,-37.935,0
501,5675,-17.112,0
502,5799,18.607,0
503,5949,71.226,0
504,6119,142.130,0
505,6345,231.869,0
506,6634,340.637,0
507,7041,469.575,0
508,7546,622.547,0
509,8061,807.329,0
510,8493,1034.514,0
511,8821,1313.259,0
512,8984,1645.319,0
513,8889,2019.955,0
514,8503,2411.238,0
515,7809,2778.144,0
516,6912,3067.787,0
517,6033,3222.576,0
518,5274,3191.659,0
519,4763,2944.727,0
520,4518,2483.699,0
521,4487,1847.600,0
522,4645,1108.140,0
523,4861,356.728,0
524,5023,-313.744,0
525,5109,-827.910,0
526,5149,-1142.802,0
527,5166,-1254.173,0
528,5164,-1192.820,0
529,5131,-1013.250,0
530,5076,-779.142,0
531,5019,-549.730,0
532,4968,-369.651,0
533,4951,-263.404,0
534,5007,-234.516,0
535,5052,-268.752,0
536,5082,-340.603,0
537,5110,-421.707,0
538,5079,-488.770,0
539,5022,-528.671,0
540,4995,-539.708,0
541,5021,-528.909,0
542,5065,-506.684,0
543,5117,-481.606,0
544,5111,-457.902,0
545,5070,-436.331,0
546,5015,-416.963,0
547,4969,-401.400,0
548,4959,-392.849,0
549,4988,-394.227,0
550,5016,-405.805,0
551,5049,-424.137,0
552,5061,-443.078,0
553,5070,-456.211,0
554,5085,-459.266,0
555,5141,-451.172,0
556,5198,-433.319,0
557,5237,-407.869,0
558,5257,-376.560,0
559,5265,-340.662,0
560,5272,-301.558,0
561,5274,-261.244,0
562,5271,-222.380,0
563,5272,-187.967,0
564,5275,-160.725,0
565,5295,-142.295,0
566,5320,-132.524,0
567,5325,-129.235,0
568,5306,-128.925,0
569,5294,-128.260,0
570,5299,-125.406,0
571,5324,-120.294,0
572,5359,-113.807,0
573,5398,-106.631,0
574,5428,-98.524,0
575,5460,-88.280,0
576,5476,-74.279,0
577,5490,-55.273,0
578,5503,-31.098,0
579,5527,-2.944,0
580,5560,27.012,0
581,5600,56.456,0
582,5619,83.799,0
583,5625,108.521,0
584,5641,130.879,0
585,5653,151.440,0
586,5672,170.785,0
587,5687,189.345,0
588,5708,207.263,0
589,5742,224.407,0
590,5802,240.708,0
591,5861,256.769,0
592,5919,274.288,0
593,5953,295.744,0
594,5922,323.249,0
595,5861,356.851,0
596,5815,393.260,0
597,5801,426.265,0
598,5841,449.126,0
599,5890,457.722,0
