sample,adc,filtered,lead_off
1098,5037,-167.863,0
1099,5050,-166.009,0
1100,5063,-165.060,0
1101,5082,-164.303,0
1102,5097,-163.230,0
1103,5109,-161.256,0
1104,5116,-157.532,0
1105,5117,-151.096,0
1106,5119,-141.342,0
1107,5126,-128.512,0
1108,5126,-113.883,0
1109,5130,-99.511,0
1110,5141,-87.597,0
1111,5139,-79.670,0
1112,5148,-75.978,0
1113,5169,-75.381,0
1114,5201,-75.667,0
1115,5243,-74.116,0
1116,5264,-68.252,0
1117,5257,-56.701,0
1118,5236,-39.947,0
1119,5213,-20.478,0
1120,5209,-1.987,0
1121,5216,12.112,0
1122,5229,20.042,0
1123,5255,22.161,0
1124,5292,20.528,0
1125,5327,18.052,0
1126,5350,17.646,0
1127,5342,21.487,0
1128,5310,30.387,0
1129,5281,43.388,0
1130,5265,57.943,0
1131,5273,70.792,0
1132,5296,79.189,0
1133,5319,81.866,0
1134,5340,79.335,0
1135,5352,73.523,0
1136,5364,67.086,0
1137,5381,62.742,0
1138,5394,62.779,0
1139,5413,68.664,0
1140,5441,80.729,0
1141,5457,98.077,0
1142,5455,118.747,0
1143,5437,140.006,0
1144,5406,158.741,0
1145,5393,172.069,0
1146,5393,178.109,0
1147,5409,176.673,0
1148,5440,169.436,0
1149,5467,159.432,0
1150,5480,150.080,0
1151,5461,144.054,0
1152,5414,142.339,0
1153,5379,143.836,0
1154,5359,145.866,0
1155,5367,145.478,0
1156,5395,140.863,0
1157,5438,132.164,0
1158,5463,121.373,0
1159,5470,111.436,0
1160,5458,104.980,0
1161,5437,103.320,0
1162,5420,106.154,0
1163,5415,111.944,0
1164,5425,118.649,0
1165,5446,124.454,0
1166,5463,128.227,0
1167,5476,129.629,0
1168,5475,128.974,0
1169,5470,127.002,0
1170,5473,124.692,0
1171,5483,123.152,0
1172,5503,123.521,0
1173,5530,126.750,0
1174,5561,133.311,0
1175,5577,143.033,0
1176,5562,155.069,0
1177,5511,167.858,0
1178,5464,179.083,0
1179,5450,185.997,0
1180,5459,186.367,0
1181,5477,179.558,0
1182,5502,166.904,0
1183,5530,151.173,0
1184,5556,135.654,0
1185,5567,123.420,0
1186,5552,116.795,0
1187,5533,116.878,0
1188,5503,123.152,0
1189,5488,133.428,0
1190,5487,144.290,0
1191,5492,152.037,0
1192,5502,153.807,0
1193,5516,148.467,0
